P2_cm HV3/OR16-15 42
P2_cm LV5-52 42
P3_wt LV1-41 42
P2_wt HV4-55 43
P3_cm KV3/OR2-268 44
P3_wt LV3-10 44
P3_cm HV4-31 45
P2_wt LV5-39 47
P2_cm KV1D-16 48
P2_wt KV3/OR2-268 48
P3_wt KV1D-13 48
P0_Ab LV4-69 49
P3_wt HV3-43D 49
P0_Ab LV5-52 50
P2_wt KV2D-30 50
P0_Ab LV5-39 51
P2_wt HV4/OR15-8 51
P3_wt LV3-1 51
P3_cm KV2-24 52
P2_cm HV1/OR15-2 53
P2_wt LV1-41 54
P0_Ab KV1D-43 55
P3_wt LV3-27 55
P3_wt LV9-49 57
P3_cm HV3-64D 58
P3_wt KV3D-15 58
P2_cm KV2D-26 59
P2_cm LV3-25 59
P2_wt HV4-28 62
P3_wt LV4-69 62
P0_Ab KV2-24 63
P2_cm KV1/OR1-1 64
P3_cm KV2D-26 64
P0_Ab KV2D-30 65
P2_cm KV1/OR-2 66
P2_wt LV3-16 66
P3_wt KV3-7 66
P2_wt HV1/OR15-2 67
P2_wt LV5-52 67
P3_wt HV4/OR15-8 70
P2_wt KV2-24 71
P3_cm HV3-33 71
P2_cm KV2-18 73
P2_cm KV2D-30 73
P3_cm KV1/OR-2 73
P0_Ab KV3/OR2-268 75
P0_Ab HV3-69-1 76
P2_wt HV3-43D 76
P2_cm KV3/OR2-268 78
P2_cm LV5-39 78
P2_wt KV1D-16 80
P3_cm LV3-27 81
P3_cm LV9-49 85
P2_cm KV2-24 86
P2_wt KV2D-26 86
P2_wt LV4-69 87
P2_cm HV4-55 88
P3_cm LV4-69 88
P0_Ab HV4/OR15-8 89
P3_wt HV3-64D 94
P2_wt LV3-13 95
P3_cm LV5-37 97
P3_cm LV1-50 99
P3_cm KV3D-11 100
P0_Ab HV3-43D 101
P2_cm LV4-69 102
P2_cm HV3-43D 103
P3_wt LV1-50 105
P3_wt KV3D-11 106
P3_wt KV1-8 108
P2_wt KV3-7 111
P3_wt HV3-30-3 112
P0_Ab LV3-25 114
P3_cm KV1-8 117
P2_cm HV4/OR15-8 118
P2_cm HV4-28 120
P2_cm KV3D-15 124
P3_cm KV2-40 127
P2_wt LV3-10 128
P2_wt LV5-37 130
P3_wt LV3-16 130
P3_cm KV1D-13 131
P0_Ab LV3-9 132
P0_Ab KV3D-11 133
P3_cm HV3-64 133
P3_wt KV1-16 133
P2_wt KV3D-11 136
P3_wt LV3-13 136
P2_wt KV1D-13 138
P0_Ab KV1-16 140
P2_cm LV1-41 143
P2_cm HV3-69-1 146
P2_wt LV3-1 147
P2_wt LV9-49 150
P2_wt KV1-16 153
P2_wt KV1-8 153
P2_wt LV3-27 153
P0_Ab HV4-28 159
P2_wt HV3-69-1 159
P2_cm LV3-1 165
P2_cm LV9-49 169
P3_wt KV2-40 170
P0_Ab KV1D-16 171
P2_wt KV2-18 176
P2_cm LV5-37 184
P3_wt KV2-18 184
P3_wt HV3-64 186
P3_cm KV2-18 191
P3_wt HV4-31 191
P2_cm KV1-16 195
P0_Ab LV4-60 198
P3_wt KV2-24 209
P3_wt HV3-33 210
P0_Ab LV3-1 213
P2_cm KV1D-13 228
P2_cm LV3-27 229
P3_cm KV3D-20 232
P2_cm KV3D-11 236
P2_cm LV1-50 236
P2_wt KV3D-15 236
P2_cm LV3-9 242
P0_Ab LV9-49 249
P0_Ab LV3-12 250
P2_wt HV3-64D 267
P3_cm KV1-NL1 269
P3_wt KV3D-20 273
P2_wt KV2-40 275
P2_cm KV1D-43 276
P2_cm KV1-8 279
P2_wt LV3-9 283
P3_cm LV4-60 288
P0_Ab LV3-27 290
P3_wt LV5-37 294
P2_wt HV3-30-3 297
P3_cm KV1D-43 300
P3_cm LV3-12 301
P3_cm LV7-43 301
P3_wt HV3-66 308
P2_cm LV4-60 315
P2_wt HV4-31 317
P3_cm HV4-38-2 319
P2_wt LV1-50 320
P0_Ab KV2-40 323
P2_cm KV2-40 331
P2_cm HV4-31 333
P0_Ab LV1-50 346
P2_cm HV3-64D 348
P2_cm HV3-30-3 353
P2_cm KV3D-20 357
P0_Ab KV1D-13 363
P2_wt LV4-60 368
P3_wt LV7-43 392
P3_cm HV3-43 394
P3_cm HV3-66 400
P2_wt LV3-12 407
P2_cm HV3-33 409
P2_wt KV3D-20 421
P0_Ab HV3-64D 424
P3_wt HV3-43 440
P3_wt KV1-NL1 445
P3_wt KV1D-12 451
P3_wt KV2D-29 461
P3_cm HV3-69-1 474
P3_wt LV3-12 478
P0_Ab KV3D-15 497
P2_wt HV3-64 499
P2_wt LV7-43 504
P0_Ab LV2-5 505
P3_cm HV1-58 507
P3_cm KV1-16 513
P0_Ab HV3-20 514
P2_wt HV3-33 516
P2_wt KV1D-43 550
P2_wt KV1D-12 551
P2_cm HV3-64 560
P3_cm HV3-53 584
P0_Ab KV1-37 586
P3_cm KV2D-29 596
P0_Ab KV3D-20 597
P3_cm LV1-36 605
P3_wt HV4-38-2 607
P2_cm LV3-12 611
P0_Ab KV1-8 617
P0_Ab HV3-30-3 630
P2_wt KV1-NL1 640
P2_wt KV2D-29 640
P2_cm LV7-43 645
P3_cm LV8-61 658
P0_Ab HV3-64 708
P2_cm KV1-NL1 714
P2_cm HV1-58 724
P2_wt HV1-58 750
P3_cm HV3-13 782
P3_wt HV4-30-2 783
P3_wt HV1-58 808
P3_wt LV1-36 819
P3_cm HV4-30-2 828
P3_wt HV3-53 905
P2_wt HV4-38-2 927
P0_Ab KV2D-29 929
P3_cm KV1D-12 929
P2_cm KV1D-12 931
P3_wt KV2-29 933
P2_cm KV2D-29 934
P0_Ab HV3-49 939
P3_wt HV3-69-1 947
P3_wt LV8-61 954
P2_wt LV1-36 978
P0_Ab HV1-58 1025
P3_wt KV3-15 1033
P2_cm HV4-38-2 1120
P0_Ab LV7-43 1126
P3_cm LV2-18 1167
P2_cm LV1-36 1188
P3_cm HV3-49 1195
P2_wt KV3-15 1226
P0_Ab KV1-NL1 1228
P0_Ab HV3-33 1236
P0_Ab KV2-29 1238
P2_wt KV2-29 1238
P3_wt KV1-37 1242
P0_Ab HV4-31 1243
P0_Ab KV1-13 1247
P2_wt LV8-61 1247
P3_wt LV2-18 1261
P2_cm LV8-61 1263
P3_cm KV3-15 1272
P2_wt HV3-66 1303
P3_cm LV3-21 1315
P3_cm HV5-10-1 1341
P0_Ab HV3-13 1342
P2_wt LV2-18 1345
P0_Ab LV2-18 1347
P2_wt HV4-30-2 1383
P3_wt KV1D-43 1383
P3_wt LV4-60 1398
P3_cm KV2-29 1417
P0_Ab KV1D-12 1457
P2_cm HV4-30-2 1461
P0_Ab HV3-11 1463
P2_cm HV3-66 1466
P3_wt HV3-13 1551
P2_wt KV1-37 1595
P3_wt HV3-30 1620
P0_Ab LV1-36 1622
P3_wt HV3-20 1665
P3_cm HV1-3 1668
P2_wt HV3-49 1682
P2_wt HV3-43 1691
P0_Ab HV3-66 1715
P2_wt HV3-20 1726
P0_Ab HV1-69 1742
P2_cm KV3-15 1747
P3_cm KV1-37 1761
P2_cm KV2-29 1771
P0_Ab LV8-61 1782
P3_wt HV1-3 1795
P2_cm LV2-18 1832
P3_wt HV3-49 1837
P3_wt KV1-13 1846
P2_wt HV3-13 1871
P2_cm HV3-49 1873
P3_cm HV3-21 1909
P2_cm KV1-37 1914
P2_cm HV3-13 1924
P0_Ab HV3-73 1950
P3_cm HV3-20 1957
P3_cm LV7-46 1972
P0_Ab HV3-43 1995
P3_cm LV1-51 1996
P3_cm KV1-6 2010
P3_cm KV1-13 2173
P0_Ab HV4-30-2 2193
P2_cm HV3-43 2193
P3_cm KV2-28 2211
P2_wt LV7-46 2228
P2_cm HV3-53 2231
P3_cm KV1-17 2231
P0_Ab HV5-10-1 2262
P3_cm LV2-11 2264
P2_cm HV5-10-1 2283
P2_wt HV5-10-1 2283
P2_wt HV3-53 2297
P3_wt KV1-17 2310
P3_wt LV7-46 2345
P2_cm HV3-20 2366
P0_Ab HV3-72 2369
P3_cm KV1-12 2437
P3_cm HV4-34 2457
P3_wt LV3-21 2476
P2_cm KV1-6 2505
P2_wt HV3-30 2578
P2_wt KV1-6 2683
P2_wt HV1-69 2719
P3_cm KV1-9 2753
P3_wt KV2-28 2811
P0_Ab HV4-38-2 2877
P2_wt KV1-13 2924
P2_wt LV1-51 2929
P3_cm HV7-4-1 2963
P2_cm KV1-13 2967
P3_wt KV1-6 3010
P2_cm HV3-11 3057
P3_wt KV1-12 3082
P3_wt LV1-51 3082
P0_Ab HV3-53 3120
P0_Ab HV3-30 3121
P3_wt LV2-11 3126
P2_cm HV3-30 3128
P2_cm LV7-46 3143
P3_wt HV5-10-1 3181
P3_wt HV3-21 3243
P3_wt KV1-27 3267
P3_cm LV1-47 3276
P3_cm KV3-20 3331
P3_cm HV3-11 3379
P2_cm HV1-69 3402
P2_cm LV1-51 3457
P2_wt HV1-3 3477
P2_wt KV2-28 3482
P2_wt LV2-11 3489
P3_cm HV3-30 3498
P2_wt KV1-17 3501
P3_wt HV1-69 3502
P3_wt KV1-9 3536
P2_wt KV1-12 3545
P3_cm KV1-27 3547
P3_wt HV1-46 3550
P0_Ab LV1-51 3573
P2_wt HV3-11 3597
P3_cm LV1-40 3604
P2_cm HV1-3 3621
P0_Ab KV1-6 3647
P2_wt KV1-9 3659
P2_wt HV3-72 3678
P3_cm KV2-30 3684
P2_wt KV3-20 3700
P3_wt KV3-20 3701
P3_cm HV1-46 3736
P3_cm KV1-5 3786
P2_cm KV1-9 3824
P2_cm KV3-20 3828
P2_cm LV2-11 3860
P2_cm KV1-12 3923
P2_wt KV1-27 3957
P3_cm HV1-69 3998
P2_cm LV3-21 4031
P3_wt HV3-72 4055
P2_cm HV3-21 4094
P0_Ab HV3-9 4160
P3_wt LV1-40 4199
P3_wt LV1-47 4202
P3_wt KV1-33 4242
P3_cm HV1-18 4245
P2_cm KV1-17 4297
P2_cm KV2-28 4325
P3_wt HV4-34 4334
P2_wt LV3-21 4410
P3_wt HV3-11 4410
P2_wt LV1-47 4441
P3_cm HV3-72 4460
P2_wt LV2-5 4507
P0_Ab KV1-9 4534
P2_cm KV1-27 4552
P0_Ab KV3-15 4567
P0_Ab KV2-28 4645
P3_wt HV7-4-1 4744
P2_cm HV4-34 4835
P2_cm HV7-4-1 4870
P2_wt KV2-30 4877
P2_cm LV1-47 4968
P2_wt KV1-5 5019
P0_Ab LV6-57 5037
P2_wt HV3-21 5201
P0_Ab HV1-3 5213
P3_cm LV6-57 5217
P3_wt KV2-30 5220
P2_cm HV3-72 5277
P3_cm HV4-59 5349
P2_wt KV4-1 5386
P3_wt HV1-18 5398
P0_Ab LV7-46 5412
P0_Ab HV3-15 5425
P2_wt HV4-34 5480
P3_wt KV1-5 5493
P3_cm HV3-48 5563
P2_wt LV1-40 5567
P0_Ab HV3-21 5741
P3_cm HV3-7 5756
P2_wt HV3-48 5762
P2_cm LV2-5 5772
P2_wt HV7-4-1 5785
P2_wt HV3-73 5791
P0_Ab KV2-30 5851
P0_Ab LV2-11 5857
P2_cm KV2-30 5940
P3_cm HV4-39 5980
P3_wt KV3-11 5998
P2_cm HV3-48 6022
P0_Ab KV1-17 6066
P2_wt KV1-33 6158
P2_cm HV4-30-4 6252
