"P0_Ab","P3_cm","P3_wt","IGH","IGL","P0_Ab_Ratio","P3_cm_Ratio","P3_wt_Ratio","P3_cmR","P3_wtR"
15,14,268,"IGHV3-73","IGKV1-12",0.000119968328361313,0.000111970439803892,0.00214343413338879,0.933333333333333,17.8666666666667
379,94,182,"IGHV3-7","IGLV2-8",0.00160246924020126,0.000397446196778149,0.000769523487378969,0.24802110817942,0.480211081794195
40,14,262,"IGHV1-2","IGLV2-18",0.000278427441808665,9.74496046330326e-05,0.00182369974384675,0.35,6.55
329,83,188,"IGHV4-4","IGLV1-44",0.00263130533539146,0.00066382475026593,0.00150360304879512,0.252279635258359,0.571428571428571
741,151,113,"IGHV3-23","IGKV1-33",0.00313305991290009,0.000638450805462771,0.00047778106633969,0.203778677462888,0.152496626180837
60,122,139,"IGHV3-20","IGLV2-14",0.000417641162712997,0.000849203697516427,0.00096753536028511,2.03333333333333,2.31666666666667
195,155,101,"IGHV1-2","IGLV1-40",0.00155958826869706,0.00123967272640023,0.000807786744299505,0.794871794871795,0.517948717948718
543,86,165,"IGHV1-2","IGLV2-8",0.00229588600904824,0.000363620988541711,0.000697644919876538,0.158379373848987,0.303867403314917
281,86,163,"IGHV3-23","IGKV1-6",0.00195595277870587,0.000598618999888629,0.00113459182537031,0.306049822064057,0.580071174377224
593,172,75,"IGHV1-18","IGLV2-23",0.00474274791455056,0.00137563683187638,0.000599841641806563,0.290050590219224,0.126475548060708
128,116,128,"IGHV1-69","IGKV1-39",0.000541203331783011,0.000490465519428354,0.000541203331783011,0.90625,1
61,104,137,"IGHV3-15","IGKV2-30",0.000424601848758214,0.000723911348702528,0.000953613988194676,1.70491803278689,2.24590163934426
1654,108,132,"IGHV5-51","IGKV3-11",0.0132285076739741,0.000863771964201451,0.00105572128957955,0.0652962515114873,0.0798065296251511
2471,71,168,"IGHV4-59","IGKV1-39",0.0104477611940299,0.000300198723098389,0.000710329372965202,0.028733306353703,0.0679886685552408
269,96,142,"IGHV3-48","IGLV2-8",0.00187242454616327,0.000668225860340795,0.00098841741842076,0.356877323420074,0.527881040892193
2320,91,147,"IGHV5-51","IGKV1-5",0.0185551014532164,0.000727807858725297,0.00117568961794086,0.0392241379310345,0.0633620689655172
1077,97,141,"IGHV5-51","IGKV1-27",0.00455371865883049,0.000410130649866813,0.000596169295167223,0.0900649953574745,0.13091922005571
155,33,205,"IGHV3-13","IGLV2-14",0.00107890633700858,0.000229702639492148,0.00142694063926941,0.212903225806452,1.32258064516129
528,74,163,"IGHV3-48","IGKV1-39",0.0042228851583182,0.000591843753249142,0.0013036558348596,0.140151515151515,0.308712121212121
97,32,200,"IGHV3-11","IGKV1-39",0.000410130649866813,0.000135300832945753,0.000845630205910955,0.329896907216495,2.06185567010309
77,177,55,"IGHV3-23","IGKV2D-29",0.000535972825481679,0.00123204143000334,0.000382837732486914,2.2987012987013,0.714285714285714
361,91,140,"IGHV3-23","IGKV2-28",0.00288723776922892,0.000727807858725297,0.00111970439803892,0.25207756232687,0.38781163434903
304,63,165,"IGHV3-7","IGLV1-44",0.00128535791298465,0.000266373514861951,0.000697644919876538,0.207236842105263,0.542763157894737
1257,79,143,"IGHV5-51","IGKV3-20",0.00874958235883729,0.000549894197572113,0.000995378104465976,0.0628480509148767,0.11376292760541
343,88,134,"IGHV3-23","IGKV1-9",0.00274327577519535,0.000703814193053034,0.00107171706669439,0.256559766763848,0.39067055393586
35,107,113,"IGHV3-72","IGLV2-11",0.000147985286034417,0.000452412160162361,0.00047778106633969,3.05714285714286,3.22857142857143
351,80,139,"IGHV4-61","IGKV3-20",0.00244320080187103,0.000556854883617329,0.00096753536028511,0.227920227920228,0.396011396011396
855,75,142,"IGHV5-51","IGLV2-11",0.00683819471659482,0.000599841641806563,0.00113570017515376,0.087719298245614,0.166081871345029
84,173,43,"IGHV3-15","IGKV1-33",0.000355164686482601,0.000731470128112976,0.000181810494270855,2.05952380952381,0.511904761904762
80,133,82,"IGHV1-69","IGLV2-8",0.000556854883617329,0.00092577124401381,0.000570776255707763,1.6625,1.025
290,118,96,"IGHV7-4-1","IGKV1-5",0.00231938768165204,0.000943750849775659,0.000767797301512401,0.406896551724138,0.331034482758621
473,70,141,"IGHV1-2","IGLV1-44",0.00199991543697941,0.000295970572068834,0.000596169295167223,0.147991543340381,0.298097251585624
220,131,78,"IGHV1-8","IGLV1-40",0.00153135092994766,0.000911849871923377,0.000542933511526896,0.595454545454545,0.354545454545454
1333,30,176,"IGHV4-30-4","IGKV1-39",0.010661185447042,0.000239936656722625,0.00140762838610607,0.0225056264066016,0.132033008252063
113,139,65,"IGHV3-72","IGLV2-23",0.00047778106633969,0.000587712993108114,0.00027482981692106,1.23008849557522,0.575221238938053
501,98,106,"IGHV4-61","IGKV4-1",0.00348730370865352,0.000682147232431228,0.000737832720792961,0.19560878243513,0.211576846307385
74,58,143,"IGHV5-10-1","IGLV2-23",0.000591843753249142,0.000463877536330409,0.00114369806371118,0.783783783783784,1.93243243243243
75,94,107,"IGHV3-15","IGKV1-27",0.000317111327216608,0.000397446196778149,0.000452412160162361,1.25333333333333,1.42666666666667
659,32,165,"IGHV7-4-1","IGKV1-39",0.00458709210379775,0.000222741953446932,0.00114851319746074,0.0485584218512898,0.250379362670713
779,106,90,"IGHV3-23","IGLV3-21",0.00623035518623084,0.000847776187086609,0.000719809970167876,0.13607188703466,0.115532734274711
25,61,135,"IGHV3-20","IGLV2-8",0.000105703775738869,0.000257917212802841,0.000570800388989895,2.44,5.4
368,99,96,"IGHV3-53","IGLV2-14",0.00256153246463971,0.000689107918476445,0.000668225860340795,0.269021739130435,0.260869565217391
249,19,173,"IGHV1-2","IGLV1-47",0.00199147425079779,0.000151959882590996,0.00138363472043381,0.0763052208835341,0.694779116465863
440,107,84,"IGHV3-23","IGLV7-46",0.0018603864530041,0.000452412160162361,0.000355164686482601,0.243181818181818,0.190909090909091
179,93,98,"IGHV3-72","IGKV1-39",0.00124596280209377,0.000647343802205145,0.000682147232431228,0.519553072625698,0.547486033519553
60,90,101,"IGHV3-48","IGKV2-28",0.00047987331344525,0.000719809970167876,0.000807786744299505,1.5,1.68333333333333
284,139,50,"IGHV1-8","IGLV1-47",0.00120079489239356,0.000587712993108114,0.000211407551477739,0.48943661971831,0.176056338028169
83,39,148,"IGHV3-13","IGKV1-39",0.000577736941752979,0.000271466755763448,0.00103018153469206,0.469879518072289,1.78313253012048
350,91,94,"IGHV4-61","IGKV1-33",0.00279926099509729,0.000727807858725297,0.000751801524397559,0.26,0.268571428571429
1308,45,139,"IGHV4-59","IGLV2-8",0.00553042154665765,0.000190266796329965,0.000587712993108114,0.0344036697247706,0.106269113149847
39,133,48,"IGHV3-73","IGKV4-1",0.000271466755763448,0.00092577124401381,0.000334112930170398,3.41025641025641,1.23076923076923
655,56,124,"IGHV5-51","IGKV1-9",0.00523861700511065,0.000447881759215567,0.000991738181120184,0.0854961832061069,0.189312977099237
1370,127,52,"IGHV4-59","IGLV2-23",0.00579256691049004,0.000536975180753457,0.000219863853536848,0.0927007299270073,0.037956204379562
403,133,46,"IGHV7-4-1","IGLV2-23",0.0028051564762223,0.00092577124401381,0.000320191558079964,0.330024813895782,0.114143920595533
112,138,41,"IGHV3-9","IGKV4-1",0.000895763518431134,0.00110370862092408,0.000327913430854254,1.23214285714286,0.366071428571429
655,93,85,"IGHV1-18","IGLV2-8",0.00276943892435838,0.000393218045748594,0.000359392837512156,0.141984732824427,0.129770992366412
955,95,83,"IGHV5-51","IGKV1-12",0.00664745517318187,0.000661265174295579,0.000577736941752979,0.0994764397905759,0.0869109947643979
188,43,135,"IGHV3-74","IGKV3-11",0.00150360304879512,0.000343909207969096,0.00107971495525181,0.228723404255319,0.718085106382979
75,64,111,"IGHV3-11","IGLV2-8",0.000317111327216608,0.000270601665891506,0.00046932476428058,0.853333333333333,1.48
226,113,61,"IGHV4-4","IGKV4-1",0.00157311504621896,0.000786557523109478,0.000424601848758214,0.5,0.269911504424779
611,125,45,"IGHV1-46","IGLV2-23",0.00488670990858413,0.000999736069677605,0.000359904985083938,0.204582651391162,0.0736497545008183
809,43,125,"IGHV5-51","IGKV1-17",0.00342057418290981,0.000181810494270855,0.000528518878694347,0.0531520395550062,0.15451174289246
4,131,36,"IGHV3-73","IGKV1-13",2.78427441808665e-05,0.000911849871923377,0.000250584697627798,32.75,9
1552,67,99,"IGHV5-51","IGLV1-47",0.0124127230411171,0.000535858533347196,0.000791790967184663,0.0431701030927835,0.0637886597938144
100,33,133,"IGHV3-15","IGLV3-21",0.000422815102955478,0.000139528983975308,0.000562344086930785,0.33,1.33
115,45,121,"IGHV4-4","IGKV2-30",0.000800478895199911,0.000313230872034748,0.000842243011471211,0.391304347826087,1.05217391304348
459,93,72,"IGHV1-18","IGLV1-44",0.00367103084785617,0.000743803635840138,0.000575847976134301,0.202614379084967,0.156862745098039
54,102,62,"IGHV5-10-1","IGKV3-11",0.000228320155595958,0.000431271405014587,0.000262145363832396,1.88888888888889,1.14814814814815
29,57,104,"IGHV3-30","IGKV2-30",0.000201859895311282,0.000396759104577347,0.000723911348702528,1.96551724137931,3.58620689655172
71,63,95,"IGHV3-73","IGLV1-44",0.00056785008757688,0.000503866979117513,0.00075979941295498,0.887323943661972,1.33802816901408
